symbol,date,open,high,low,close,volume,Moving_Average,condition
GOOGL,2025-05-01,160.45,176.77,147.84,171.74,942494200,172.61749999999998,1
GOOGL,2025-06-01,167.84,181.23,162.0,176.23,847382400,172.22583333333333,1
GOOGL,2025-07-01,175.74,197.95,172.77,191.9,860114400,171.61833333333334,0
GOOGL,2025-08-01,189.03,214.65,187.82,212.91,617570900,173.18333333333337,0
GOOGL,2025-09-01,208.44,256.0,206.2,243.1,829465500,177.07666666666668,0
GOOGL,2025-10-01,240.75,291.59,235.84,281.19,729575900,183.165,0
GOOGL,2025-11-01,282.18,328.83,270.7,320.18,855278300,192.50750000000002,0
GOOGL,2025-12-01,317.7,323.16,296.12,313.0,678208700,204.91833333333332,0
GOOGL,2026-01-01,316.9,342.29,310.33,338.0,621586400,215.43916666666667,0
GOOGL,2026-02-01,336.22,349.0,296.25,311.76,809043900,226.73333333333332,0
GOOGL,2026-03-01,303.23,308.49,294.08,306.36,190416000,237.67499999999998,0
